word,number
de,8435682
je,8308698
est,6942248
pas,5833676
le,5305591
que,5083052
la,4825603
vous,4500162
tu,4434920
un,4360896
c',4184576
�,4119959
et,4110855
il,4025241
a,3679682
l',3675406
ne,3343288
les,3046663
j',2981242
en,2925411
on,2756346
ça,2742676
une,2717481
d',2603041
ce,2533544
qu',2520219
pour,2475533
ai,2437065
n',2300252
des,1902327
qui,1665879
mais,1641141
dans,1508883
nous,1504467
elle,1476885
me,1446772
bien,1438129
si,1409401
du,1337227
y,1320695
suis,1303070
non,1290498
t',1257857
avec,1256800
tout,1243107
plus,1214520
mon,1195613
m',1141238
te,1127735
au,1109359
fait,1054966
moi,1048758
s',1037629
oui,1001703
va,989526
était,985841
as,974673
faire,966573
ils,945659
sur,939169
quoi,894291
se,867737
comme,864987
sais,851748
être,743252
veux,738917
ici,725494
ma,716527
toi,707904
est-ce,707256
dit,701414
lui,689708
votre,677006
es,662531
pourquoi,657070
où,643564
l�,643024
rien,638070
cette,626319
sont,609102
quand,598113
peux,594578
dire,586553
son,585229
avez,552796
vais,542593
alors,542173
ton,540446
comment,528569
par,519463
ou,497358
chose,490339
bon,483364
ont,471659
merci,471415
juste,465932
très,462324
jamais,436873
été,432574
aussi,427827
