word,number
de,8435682
je,8308698
est,6942248
pas,5833676
le,5305591
que,5083052
la,4825603
vous,4500162
tu,4434920
un,4360896
c',4184576
�,4119959
et,4110855
il,4025241
a,3679682
l',3675406
ne,3343288
les,3046663
j',2981242
en,2925411
on,2756346
ça,2742676
une,2717481
d',2603041
ce,2533544
qu',2520219
pour,2475533
ai,2437065
n',2300252
des,1902327
qui,1665879
mais,1641141
dans,1508883
nous,1504467
elle,1476885
me,1446772
bien,1438129
si,1409401
du,1337227
y,1320695
suis,1303070
non,1290498
t',1257857
avec,1256800
tout,1243107
plus,1214520
mon,1195613
m',1141238
te,1127735
au,1109359
fait,1054966
moi,1048758
s',1037629
oui,1001703
va,989526
était,985841
as,974673
faire,966573
ils,945659
sur,939169
quoi,894291
se,867737
comme,864987
sais,851748
être,743252
veux,738917
ici,725494
ma,716527
toi,707904
est-ce,707256
dit,701414
lui,689708
votre,677006
es,662531
pourquoi,657070
où,643564
l�,643024
rien,638070
cette,626319
sont,609102
quand,598113
peux,594578
dire,586553
son,585229
avez,552796
vais,542593
alors,542173
ton,540446
comment,528569
par,519463
ou,497358
chose,490339
bon,483364
ont,471659
merci,471415
juste,465932
très,462324
jamais,436873
été,432574
aussi,427827
avoir,427178
vraiment,423339
voir,419803
même,411247
sa,408233
oh,408070
maintenant,402585
tous,399645
peut,393199
deux,388269
ces,388071
êtes,376665
allez,374660
ta,373455
autre,370961
peu,354756
temps,354330
quelque,353553
fais,353373
toujours,345760
encore,342386
notre,339810
mes,332672
besoin,329446
avait,320073
accord,315183
faut,313023
dois,310780
vie,310140
peut-être,306785
aller,303502
fois,297685
vu,290541
donc,281973
sans,281163
monde,277005
étais,276408
parce,273723
avant,272706
sûr,271047
trop,265575
quelqu',265286
parler,262709
personne,260005
avais,257602
père,257456
crois,251561
après,250383
aux,244896
dieu,242078
ouais,241407
ses,240780
pense,240390
eu,238206
aime,237696
leur,236536
homme,236357
viens,233234
vrai,233001
femme,232974
ok,228115
doit,227951
veut,227166
ans,225795
m.,223793
mal,219886
chez,218436
déj�,214718
depuis,214022
beaucoup,211787
vos,211081
bonne,209592
mort,208796
mieux,205274
vas,203968
mère,202937
sera,202795
dis,201949
fille,201540
tes,199689
gens,198558
quel,193928
vois,193613
désolé,191841
ca,189898
voil�,189677
avons,186788
petit,186600
maison,185035
soit,179962
cela,177397
autres,175480
toute,174066
soir,172574
passé,172214
prendre,170367
jour,170304
monsieur,164959
nos,164465
savoir,163428
choses,163193
salut,160990
cet,160783
nom,160549
argent,159413
bonjour,156301
nuit,155789
raison,153137
moins,153102
arrive,152291
maman,151089
reste,150311
moment,149622
voulais,149394
seul,149265
aider,148607
air,148370
entre,147420
papa,146818
passe,144680
aurais,143292
problème,141208
ah,140158
peur,139829
regarde,138016
voulez,137416
gars,136154
trouvé,135198
fils,134600
attends,134144
savez,133759
jusqu',133102
trouver,132646
trois,132625
assez,132619
famille,132352
dû,132063
eh,131788
toutes,131387
plaît,131162
pourrait,130894
travail,130261
pris,129066
pu,128934
tête,128754
quelle,128659
sait,128125
sommes,127717
appelle,127367
quelques,127034
faites,125636
partir,125282
vite,125063
arrête,124854
seule,124521
serait,123944
voiture,123524
enfants,123384
tuer,121829
merde,121318
hé,121065
pendant,121060
idée,120671
chance,120655
parle,120341
aurait,120181
part,119964
elles,118978
jours,118455
grand,117213
aujourd'hui,117159
venir,116762
ami,116639
demain,116541
hein,116301
tard,115148
puis,115038
truc,114959
passer,114718
petite,114295
tant,113917
connais,113815
combien,113220
mec,113219
sens,112925
pouvez,112615
porte,110258
sortir,109313
super,108980
heure,108452
contre,108451
coup,108065
comprends,107885
entendu,107777
vient,107616
allons,106551
ensemble,106057
nouveau,105566
amour,104503
importe,104429
sang,103824
désolée,102105
cas,100615
sous,100518
rester,99983
amis,99948
prends,99491
fini,98823
hommes,98230
tué,98218
question,97869
partie,97788
histoire,97363
devrais,97220
aide,96574
dernière,96425
demande,95954
chercher,95887
pensais,95747
genre,95698
seulement,95569
police,95229
car,94921
mois,94016
frère,94005
laisser,93545
aucun,93134
mettre,92980
eux,92010
laisse,91272
chaque,91035
ville,90067
arrivé,89653
devrait,89639
parlé,89232
avez-vous,88861
vont,88659
longtemps,88619
aucune,87577
heures,87343
bébé,86634
place,86562
revoir,86062
putain,85798
compris,85603
ni,84992
savais,84626
leurs,84050
étaient,83848
attention,83667
donner,83428
affaire,83076
endroit,82941
pourrais,82579
corps,82565
façon,82429
donné,82427
est-il,82359
voici,82156
train,82087
dont,81842
écoute,81813
yeux,81633
trouve,81473
pouvoir,81369
type,81069
perdu,80940
premier,80900
première,80647
côté,80162
point,80138
